# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5_8S_rRNA	ENSG00000276871	ENST00000612732	rRNA	0	0	0	112	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	99
AC000035.3	ENSG00000282816	ENST00000634116	antisense	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	ENSG00000273212	ENST00000608816	antisense	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
AC000068.5	ENSG00000185065	ENST00000431090	antisense	0	0	0	18	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AC000068.9	ENSG00000273300	ENST00000607934	antisense	0	0	0	17	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AC000081.2	ENSG00000230194	ENST00000433141	processed_pseudogene	0	0	0	13	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
AC000089.3	ENSG00000235776	ENST00000424559	processed_pseudogene	0	0	0	70	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0
AC002056.3	ENSG00000213683	ENST00000395613	processed_pseudogene	0	0	0	54	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
AC002472.11	ENSG00000226872	ENST00000450652	antisense	0	0	0	42	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	21
AC004019.10	ENSG00000229492	ENST00000455617	processed_pseudogene	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
AC004019.13	ENSG00000236754	ENST00000443935	antisense	0	0	0	16	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	10
